"","year","cofip_sub","cofip_nbr_nbr"
"1",1999,4027,6073
"2",1999,4015,6029
"3",1999,4015,6037
"4",1999,4015,6059
"5",1999,4015,49017
"6",1999,4012,6029
"7",1999,4012,6037
"8",1999,4012,6059
"9",1999,4012,6073
"10",1999,4001,8111
"11",1999,4001,35043
"12",1999,4001,35051
"13",1999,4001,35053
"14",1999,4001,35001
"15",1999,4001,35061
"16",1999,4001,49015
"17",1999,4001,49017
"18",1999,4001,49055
"19",1999,1061,12005
"20",1999,1061,12133
"21",1999,1061,12013
"22",1999,1061,12077
"23",1999,1039,12005
"24",1999,1039,12133
"25",1999,1069,12005
"26",1999,1069,12013
"27",1999,1069,12077
"28",1999,1069,12133
"29",1999,1069,13007
"30",1999,1069,13037
"31",1999,1069,13201
"32",1999,12065,13071
"33",1999,12065,13075
"34",1999,12065,13205
"35",1999,12039,13007
"36",1999,12039,13201
"37",1999,12039,13205
"38",1999,1113,13197
"39",1999,1113,13263
"40",1999,1113,13243
"41",1999,1113,13307
"42",1999,1017,13199
"43",1999,1017,13263
"44",1999,1017,13077
"45",1999,12089,13025
"46",1999,12089,13127
"47",1999,12073,13205
"48",1999,12073,13071
"49",1999,1019,13015
"50",1999,1019,13129
"51",1999,1019,13223
"52",1999,12003,13003
"53",1999,12003,13173
"54",1999,12003,13025
"55",1999,12003,13005
"56",1999,12003,13069
"57",1999,12003,13229
"58",1999,1081,13199
"59",1999,1081,13263
"60",1999,12047,13173
"61",1999,12047,13019
"62",1999,12047,13075
"63",1999,1005,13037
"64",1999,1005,13243
"65",1999,1005,13197
"66",1999,1005,13307
"67",1999,1071,47031
"68",1999,1071,47061
"69",1999,1071,47127
"70",1999,1071,47153
"71",1999,12079,13019
"72",1999,12079,13075
"73",1999,12079,13173
"74",1999,12079,13071
"75",1999,1067,13007
"76",1999,1067,13037
"77",1999,1067,13201
"78",1999,1067,13243
"79",1999,1111,13077
"80",1999,1111,13199
"81",1999,1111,13097
"82",1999,1111,13121
"83",1999,1111,13223
"84",1999,1029,13015
"85",1999,1029,13223
"86",1999,1029,13077
"87",1999,1029,13097
"88",1999,1029,13121
"89",1999,12063,13201
"90",1999,1049,13129
"91",1999,12023,13003
"92",1999,12023,13173
"93",1999,17075,18073
"94",1999,17075,18157
"95",1999,17075,18181
"96",1999,17023,18021
"97",1999,17023,18121
"98",1999,17023,18055
"99",1999,17185,18125
"100",1999,17185,18027
"101",1999,17185,18055
"102",1999,17059,21233
"103",1999,17091,18073
"104",1999,17091,18127
"105",1999,17031,18073
"106",1999,17031,18127
"107",1999,17033,18021
"108",1999,17033,18055
"109",1999,17033,18027
"110",1999,17033,18125
"111",1999,17101,18027
"112",1999,17101,18055
"113",1999,17101,18125
"114",1999,17183,18073
"115",1999,17183,18157
"116",1999,17183,18181
"117",1999,17183,18045
"118",1999,17183,18121
"119",1999,17193,18125
"120",1999,17045,18045
"121",1999,17045,18121
"122",1999,17045,18021
"123",1999,17197,18073
"124",1999,17197,18127
"125",1999,17071,19087
"126",1999,17085,19105
"127",1999,17085,19055
"128",1999,17085,55049
"129",1999,17085,55103
"130",1999,17067,19087
"131",1999,17067,29103
"132",1999,17067,29205
"133",1999,17015,19105
"134",1999,17015,19031
"135",1999,17161,19087
"136",1999,17161,19103
"137",1999,17161,19183
"138",1999,17161,19031
